"平成27年(2015年)産業連関表 輸入表 (統合中分類)(単位:100万円)(総務省)","耕種農業","畜産","農業サービス","林業","漁業","石炭･原油･天然ガス","その他の鉱業","食料品","飲料","飼料･有機質肥料(別掲を除く。)","たばこ","繊維工業製品","衣服･その他の繊維既製品","木材･木製品","家具･装備品","パルプ･紙･板紙･加工紙","紙加工品","印刷･製版･製本","化学肥料","無機化学工業製品","石油化学系基礎製品","有機化学工業製品(石油化学系基礎製品･合成樹脂を除く。)","合成樹脂","化学繊維","医薬品","化学最終製品(医薬品を除く。)","石油製品","石炭製品","プラスチック製品","ゴム製品","なめし革･革製品･毛皮","ガラス･ガラス製品","セメント･セメント製品","陶磁器","その他の窯業･土石製品","銑鉄･粗鋼","鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属加工製品","建設用･建築用金属製品","その他の金属製品","はん用機械","生産用機械","業務用機械","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置･電気計測器","その他の電気機械","通信･映像･音響機器","電子計算機･同附属装置","乗用車","その他の自動車","自動車部品･同附属品","船舶･同修理","その他の輸送機械･同修理","その他の製造工業製品","再生資源回収･加工処理","建築","建設補修","公共事業","その他の土木建設","電力","ガス･熱供給","水道","廃棄物処理","商業","金融･保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道輸送","道路輸送(自家輸送を除く。)","自家輸送","水運","航空輸送","貨物利用運送","倉庫","運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務","教育","研究","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸サービス","広告","自動車整備･機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","民間消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出計","最終需要計","需要合計"
"その他の金属製品",3368,380,15,289,107,138,1813,2223,4351,0,16,16,1214,1961,25673,680,100,84,0,274,4,319,33,8,2644,1160,771,32,1458,4187,163,2401,1076,394,120,32,279,1385,68,1657,2932,13537,90296,36035,34269,5208,2406,4224,12380,1951,1284,2482,2189,3022,2887,2258,43185,5289,10008,3542,13,169209,66082,18675,11504,176,2180,67,29,4059,180,38,19,307,240,2295,0,898,32,9,921,878,11,646,9,219,70,171,7600,91,148,739,1,296,342,566,1219,3,7439,641,2988,16401,9205,317,4449,0,92,671751,2492,154985,0,0,0,43301,1132,201910,873661,0,0,201910,873661
"はん用機械",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,1854,510950,149750,3757,0,0,3808,1145,0,0,0,0,1812,544,68203,11740,4026,0,0,13472,1941,0,0,0,0,15993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151334,0,0,0,0,0,0,0,0,941652,0,2921,0,0,18412,575547,160,597040,1538692,0,0,597040,1538692
"生産用機械",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,2518,6111,557361,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,0,0,955,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137095,0,0,0,0,0,0,0,0,705525,0,4127,0,0,6572,1309871,74,1320644,2026169,0,0,1320644,2026169
"業務用機械",0,0,1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10837,34435,147247,0,0,5182,0,396,0,2226,1847,305,113,2848,2222,656,1032,0,0,0,0,0,0,0,0,0,12059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5737,3345,0,0,272812,0,0,10415,0,0,0,87779,0,0,0,0,0,0,6437,0,609842,0,31916,0,0,48556,1412109,6671,1499252,2109094,0,0,1499252,2109094
"電子デバイス",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529,6403,36864,271357,967907,217188,171621,175443,215828,218024,238685,195239,0,0,175725,0,6155,23192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,72505,0,0,0,0,0,0,0,0,2995040,0,1047,0,0,0,0,3182,4229,2999269,0,0,4229,2999269
"その他の電子部品",0,0,0,0,7,0,6,25,21,0,2,0,2,1,7,3,19,2961,0,7,1,6,2,0,69,17,7,0,2,4,0,0,1,0,0,6,11,1,4,0,255,15,5915,14077,17766,54555,164009,299701,48570,15954,57172,12585,79873,33657,1969,469,52244,587,659,2334,0,3584,451,147,18,82,9,66,0,1611,1091,0,0,0,31,1,0,11,4,0,0,34,13,2094,8881,14142,656,21179,21612,588,43275,35,0,165,1,0,55,1,115715,1287,3,0,13,2,288,20481,0,1123184,372,49721,0,0,0,0,1606,51699,1174883,0,0,51699,1174883
"産業用電気機器",0,109,0,0,1008,0,102,0,0,0,0,0,0,60,81,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,22,0,0,0,0,0,0,0,98,9,972,63478,64004,20258,0,6218,178306,11013,4582,8750,8872,2201,12242,1231,42429,4315,1679,277,0,16844,35418,2628,3237,0,0,0,0,11,0,0,0,0,209,0,0,0,0,0,9,0,1,19,0,0,0,0,31,0,0,0,0,0,0,0,0,0,60566,3,0,0,0,0,95,0,315,551754,20,6018,0,0,12471,871144,-714,888939,1440693,0,0,888939,1440693
"民生用電気機器",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42100,0,2,0,0,0,0,0,241,1220,7,0,18506,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,109,0,0,0,0,0,1435,7318,0,0,0,0,0,0,0,344,0,17276,313,0,0,0,606,37,0,0,89902,14678,696617,0,0,715,142048,3247,857305,947207,0,0,857305,947207
"電子応用装置･電気計測器",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,1018,12650,0,0,31153,0,39590,0,1722,0,0,0,0,1716,108,0,0,3770,452,4357,3929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11472,0,0,0,0,0,0,0,0,113778,0,79,0,0,68113,892681,0,960873,1074651,0,0,960873,1074651
"その他の電気機械",10,40,1,0,183,0,97,0,0,0,4,0,0,0,316,0,0,12,0,5,0,0,0,0,5,3,0,0,54,0,0,0,0,0,31,0,0,0,0,0,42,3,1634,7441,11397,12916,143608,50937,33060,9932,2832,107002,13643,1352,54740,7552,19699,1556,5033,6425,0,45585,14653,5261,3980,10,0,109,0,3912,11,178,57,0,646,135,231,99,19,13,12,632,0,0,580,112,0,1009,3009,2780,916,203,48,4,8,0,53,0,25581,1210,64,152,25,734,88,0,4382,608066,2241,200138,0,0,45154,398921,5968,652422,1260488,0,0,652422,1260488
"通信･映像･音響機器",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1424,65,2,0,0,1,2,0,26699,3,178466,27238,0,5864,1040,88,0,0,0,835,1616,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,279,3299,0,0,0,0,0,0,0,221,0,11461,89,0,0,0,495,151,0,0,259508,14895,2282276,0,0,228552,940413,18655,3484791,3744299,0,0,3484791,3744299
"電子計算機･同附属装置",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854,0,0,0,0,0,0,0,140,63064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,482,272,0,6,0,0,0,0,0,0,0,0,0,17404,0,15753,0,0,0,0,0,0,0,0,97979,0,404182,0,0,271075,1889437,5472,2570166,2668145,0,0,2570166,2668145
"乗用車",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804293,0,0,8433,353381,7297,1173404,1173404,0,0,1173404,1173404
"その他の自動車",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,0,0,0,0,0,0,0,0,10664,0,56916,0,0,4771,101774,-6012,157449,168113,0,0,157449,168113
"自動車部品･同附属品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,605403,145609,653250,0,7008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95844,0,0,0,0,0,0,0,0,1507715,0,638,0,0,0,0,2516,3154,1510869,0,0,3154,1510869
"船舶･同修理",0,0,0,0,20839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28518,0,4713,0,0,109,58121,0,62943,91461,0,0,62943,91461
"その他の輸送機械･同修理",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66998,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6560,0,0,0,0,0,487,0,0,707730,0,100593,0,0,160273,676019,0,936885,1644615,0,0,936885,1644615
"その他の製造工業製品",78,37,15,40,3691,69,259,3087,2263,1,0,227,31124,1129,4710,699,163,80,5,31,34,604,30,10,450,515,3,30,1286,292,1019,750,111,822,680,44,4030,1022,22,7,1106,66,280,253,18479,2392,1531,2448,1914,297,1491,398,2351,569,3513,850,7937,352,230,111841,11,7327,9706,7621,5758,49,1,591,668,11974,3316,297,134,0,84,520,31,305,34,4,27,499,27,4019,2784,12190,521,2184,23433,50566,54684,2127,287,16453,8799,8940,52822,3742,5163,41673,4181,18746,13766,35076,42869,64089,1616,737481,106444,1123787,2,0,24822,249525,21362,1525942,2263423,0,0,1525942,2263423
"再生資源回収･加工処理",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"建築",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"建設補修",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"公共事業",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"その他の土木建設",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"電力",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,0,153,0,0,0,0,0,153,1539,0,0,153,1539
"ガス･熱供給",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,135,0,0,0,0,0,135,214,0,0,135,214
"水道",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,1105,0,0,0,0,0,1105,1534,0,0,1105,1534
"廃棄物処理",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,306,0,0,0,306
"商業",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189500,0,0,0,0,0,0,0,0,189500,0,0,0,189500
"金融･保険",5328,1125,991,599,1485,51,841,4406,2068,429,95,874,1358,1079,1179,1246,776,575,436,480,527,2287,1354,50,291,5180,8764,283,2018,1786,148,329,364,427,640,1183,1140,815,984,348,1865,569,951,2383,4518,1174,571,1828,1125,227,306,1085,1082,990,3354,330,2444,1151,1884,626,118,5807,8,3938,4955,1403,235,50,278,24070,898209,9693,12612,17578,183,31095,182224,19873,17503,3050,236,5258,66,9903,2517,3330,914,2124,116,71,1002,794,18,412,1939,917,13404,82,1094,21614,211,3525,99,6536,1731,0,0,1393597,70,5737,0,0,0,0,0,5807,1399404,0,0,5807,1399404
"不動産仲介及び賃貸",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"住宅賃貸料",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1787,0,0,0,0,0,1787,1787,0,0,1787,1787
"住宅賃貸料(帰属家賃)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"鉄道輸送",0,0,3,2,3,2,6,18,7,0,1,5,9,4,6,8,11,23,0,4,4,10,7,1,80,26,7,2,70,10,0,5,5,6,18,7,17,5,2,4,11,40,22,39,68,31,67,59,22,14,14,14,77,15,16,2,24,6,10,15,1,93,35,36,14,25,5,12,137,1289,856,24,2,0,1,16,0,18,3,4,8,33,2,80,44,30,24,24,465,200,296,185,10,22,14,27,16,7,13,141,14,127,22,45,29,0,491,5904,31,33201,0,0,0,0,0,33232,39136,0,0,33232,39136
"道路輸送(自家輸送を除く。)",0,0,3,5,8,5,42,57,21,2,4,9,14,17,12,26,24,26,3,17,10,28,14,2,183,65,46,4,58,46,1,12,17,13,35,17,64,15,7,10,34,96,99,185,245,90,262,148,93,44,20,35,125,42,49,10,80,13,31,23,4,287,126,168,60,99,18,20,147,2463,1435,64,7,0,15,276,0,40,2,11,22,130,18,359,163,316,81,125,1470,318,556,252,14,24,16,184,128,42,90,496,9,113,26,74,108,0,853,13895,861,57236,0,0,0,0,0,58097,71992,0,0,58097,71992
"自家輸送",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"水運",0,0,0,0,0,0,3,0,0,0,0,0,23,87,0,0,181,174,0,0,0,0,0,0,1,0,74,0,13,28,0,0,0,0,0,2,0,1,0,0,18,17,4,0,1,0,0,0,0,0,3,0,15,0,0,0,28,9,0,34,0,0,0,0,0,38,7,0,0,3,3,0,0,0,3,143,0,2215881,46,1,0,0,0,2,7,2,0,1,2,49,109,8,0,0,1,10,0,0,0,835,0,1,0,11,0,0,1009,2218888,0,19328,0,0,0,0,0,19328,2238216,0,0,19328,2238216
"航空輸送",0,0,402,98,231,179,267,1335,113,188,37,425,1389,257,808,307,354,5041,65,208,162,649,292,51,9462,1859,948,52,1286,505,53,243,587,229,555,309,1154,551,90,241,395,3557,1720,3903,5201,1397,1316,2119,1294,924,505,791,1614,619,1212,399,1987,99,1021,812,0,189,75,605,76,1305,192,847,3236,115163,15589,1171,245,0,131,3208,0,695,8155,1435,243,685,11664,7303,2282,12858,3488,20067,9458,6895,21268,5363,78,350,653,966,4021,1216,287,18519,738,134,102,4708,1852,0,5517,354899,2091,583400,0,0,0,0,0,585491,940390,0,0,585491,940390
"貨物利用運送",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"倉庫",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"運輸附帯サービス",0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24889,5514,0,49300,113139,0,0,4214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,0,0,0,21609,1225,0,3152,0,0,3956,231111,234,48171,0,0,0,0,0,48405,279516,0,0,48405,279516
"郵便･信書便",26,31,16,0,10,14,16,82,16,2,3,12,13,8,9,16,22,41,2,10,0,20,6,1,221,25,13,6,62,7,2,4,18,2,12,18,38,6,7,4,10,23,38,56,81,55,7,17,28,10,27,8,16,2,8,4,55,10,45,21,23,241,309,205,132,607,328,156,140,4037,8203,204,353,0,137,65,0,96,55,47,66,342,0,3776,323,601,213,598,5502,777,3285,497,213,1299,401,791,155,46,313,1453,198,947,188,217,581,0,166,39628,220,268,0,0,0,0,0,488,40116,0,0,488,40116
"通信",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180599,0,3005,0,0,0,0,0,3005,183604,0,0,3005,183604
"放送",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"情報サービス",1257,1163,558,9,347,91,164,9442,4482,552,524,328,709,799,1612,2539,1518,3088,408,928,493,3084,1609,177,17017,5253,857,128,6370,3176,73,803,1161,934,1644,2225,3025,1175,1239,1011,2304,2639,3824,7388,22644,5087,4616,8557,17630,807,4860,3580,3951,4628,4507,724,8516,958,1460,2583,10,8857,2978,5761,5817,38314,5995,25870,3256,252672,227867,9427,4993,0,905,10232,0,2789,2992,670,3251,25128,776,78790,5464,52338,40088,28227,99445,8803,87032,46124,5698,14367,1602,22135,15436,8418,3870,101783,11596,8013,250,16801,8387,0,2197,1498659,104,32303,0,0,15706,278691,0,326804,1825463,0,0,326804,1825463
"インターネット附随サービス",0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,14,4,1,0,0,2,0,0,0,30,6,2,0,7,1,0,0,2,0,0,0,16,1,0,1,4,1,18,4,5,9,8,10,6,0,10,2,15,1,7,0,8,2,0,1,0,4,10,2,1,0,0,3,4,782,193,0,1,0,16,26,0,5,2,3,2,16,4,498,80,320,629,75,42,6,62,4,1,13,1,6,15,475,49,674,5,15,7,22,7,0,192,4482,22,11,0,0,0,0,0,33,4515,0,0,33,4515
"映像･音声･文字情報制作",2,0,52,0,44,1,15,614,113,32,0,25,68,57,73,37,62,157,27,27,7,34,5,5,383,85,13,7,63,69,11,4,8,22,33,94,97,14,10,22,46,57,123,165,339,123,103,147,168,48,42,47,63,42,115,31,266,28,50,118,22,1110,393,457,264,73,28,80,45,1665,4827,407,265,0,140,761,0,65,89,52,74,264,163,3759,52637,2017,256,181399,5532,1674,4291,2503,28,1405,490,1521,553,5250,104,3257,218,512,388,1413,163,0,0,285127,2753,20659,0,0,0,264,-720,22956,308083,0,0,22956,308083
"公務",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"教育",0,0,0,9,0,0,68,3641,38,274,0,0,0,83,227,495,0,0,9,169,362,1093,686,0,906,1915,88,0,940,95,0,125,473,583,220,0,4,466,0,0,87,1738,846,3615,3957,1283,2792,6700,4882,3924,811,1444,5928,322,1121,509,3458,746,190,103,13,936,17,107,798,7232,987,172,43,12272,4338,13,4,0,28165,1177,0,220,91,0,190,2138,207,54982,1540,53386,14808,4502,1945,25,0,2584,0,155,126,0,2562,77,12,7459,811,3984,3023,669,1820,0,349,271364,0,0,0,0,0,0,0,0,271364,0,0,0,271364
