"Date","総計","総計:持家","総計:持家:住宅金融機構","総計:給与住宅","総計:貸家","総計:分譲住宅:マンション","総計:分譲住宅:一戸建て","総計:分譲住宅"
"92年04月",0.4,8.4,,15.5,9.3,-37,-11.2,-28.2
"92年05月",-0.1,9.1,,-11.4,10.8,-45,-14.2,-33.4
"92年06月",1,12.9,,-35.3,20.2,-58.6,-8.2,-41.5
"92年07月",4.9,6.3,,6.6,17.2,-33.4,-9.8,-23.9
"92年08月",12,22.3,,-33.8,27,-41.5,-4.5,-26.9
"92年09月",10.4,8.7,,-24.9,26,-26.3,1.8,-15.2
"92年10月",10.3,1.8,,-5.4,31.5,-37.7,-4,-22.9
"92年11月",8.2,2.5,,4.4,21.6,-23.5,-1.4,-14.4
"92年12月",5.4,6,,-18.8,15.6,-28.6,6.3,-15
"93年01月",0.9,1.5,,-28,6.5,-22.7,5.9,-10.3
"93年02月",6.3,5.3,,-26.4,13.1,-15.8,12.5,-3.8
"93年03月",9.2,4.5,,12.9,13.3,8.5,8.4,8.6
"93年04月",1.1,-2,,16.7,4.3,-13.6,14,-2
"93年05月",0.4,-0.9,,-7.4,-4.1,25.5,14.8,20.2
"93年06月",4.1,3.8,,-16,-1.2,17,33.4,26.6
"93年07月",4.6,13.1,,-32.3,-4.9,14.8,31.1,23.1
"93年08月",10.9,29.9,,2.1,-6,16.5,32.4,25
"93年09月",10.6,34.7,,-19.3,-9.1,58.1,-0.6,30.8
"93年10月",7.8,27.9,,-19,-9.8,54.8,22.6,37.7
"93年11月",8.7,7,,-0.1,-1.2,58.2,36.5,48.1
"93年12月",4.9,8,,-10.8,-4.7,41.7,18,30.4
"94年01月",20.7,12,,28.1,9.2,107.6,38.6,73.6
"94年02月",6.3,3.7,,-3.9,-11.9,104.9,24.9,65.2
"94年03月",-0.7,2.9,,-32.6,-18.9,46,31.1,40.4
"94年04月",11.6,21,,-21.3,-13.2,98.2,23.2,62.2
"94年05月",13.5,30.6,,-30.5,-9.6,62,22.4,43.4
"94年06月",10.6,19.8,,21.1,-11.2,85.8,19.9,47.9
"94年07月",5.8,17.3,,-30.1,-10.1,49.3,0.2,24.1
"94年08月",1.8,-1.1,,-15.8,-12.3,96.2,11.2,50.3
"94年09月",-2.7,-23,,2,-5.9,50.3,47,48.9
"94年10月",0.2,-11.5,,-20.7,-9.9,74.3,37,56.2
"94年11月",4.5,26,,-14.4,-12,24.8,-1.9,12.8
"94年12月",2.9,8.7,,-7.4,-13,37.7,20.2,30.6
"95年01月",-5.6,3.5,,-44.5,-19.6,25.3,-3.1,14.1
"95年02月",1.8,18.2,,3.1,-13.4,6.3,-0.2,4.1
"95年03月",-4.8,-0.2,,63.9,-14.4,-2.6,-0.6,-2
"95年04月",-8.6,-12.3,,-28.6,-8.1,1.4,-6.4,-1.4
"95年05月",-11.1,-16.7,,-15.4,-9.6,-4.4,-0.3,-2.5
"95年06月",-15.7,-21.6,,-21.8,-14.5,0.1,-15.3,-6.5
"95年07月",-11.2,-18.2,,15.4,-12,6.6,-1.9,3.6
"95年08月",-15,-21.2,,-18.8,-4.8,-33.8,0,-20.4
"95年09月",-5.3,4.7,,-9.2,-2,-29.2,-5.9,-21.3
"95年10月",-2.3,15,,16.7,-4.7,-21,-22.7,-21.5
"95年11月",0.1,-8,,-2.8,2.6,5.1,16.1,9.4
"95年12月",4.8,9,,-1.1,12.5,-21.6,4.5,-11.5
"96年01月",7.2,21,,67.5,8.2,-18,-4.4,-13
"96年02月",-1.9,-0.9,,6.7,2.6,-17.4,4.2,-9.4
