"平成27年(2015年)産業連関表 取引基本表(生産者価格評価)(統合小分類)(単位:100万円)(総務省)","穀類","いも･豆類","野菜","果実","その他の食用作物","非食用作物","畜産","農業サービス","育林","素材","特用林産物","海面漁業","内水面漁業","石炭･原油･天然ガス","砂利･砕石","その他の鉱物","畜産食料品","水産食料品","精穀･製粉","めん･パン･菓子類","農産保存食料品","砂糖･油脂･調味料類","その他の食料品","酒類","その他の飲料","飼料･有機質肥料(別掲を除く。)","たばこ","紡績糸","織物","ニット生地","染色整理","その他の繊維工業製品","織物製･ニット製衣服","その他の衣服･身の回り品","その他の繊維既製品","木材","その他の木製品","家具･装備品","パルプ","紙･板紙","加工紙","紙製容器","その他の紙加工品","印刷･製版･製本","化学肥料","ソーダ工業製品","その他の無機化学工業製品","石油化学系基礎製品","脂肪族中間物･環式中間物･合成染料･有機顔料","合成ゴム","その他の有機化学工業製品","合成樹脂","化学繊維","医薬品","油脂加工製品･界面活性剤","化粧品･歯磨","塗料･印刷インキ","農薬","その他の化学最終製品","石油製品","石炭製品","プラスチック製品","タイヤ･チューブ","その他のゴム製品","革製履物","なめし革･革製品･毛皮(革製履物を除く。)","ガラス･ガラス製品","セメント･セメント製品","陶磁器","建設用土石製品","その他の窯業･土石製品","銑鉄･粗鋼","鉄屑","熱間圧延鋼材","鋼管","冷延･めっき鋼材","鋳鍛造品(鉄)","その他の鉄鋼製品","非鉄金属製錬･精製","非鉄金属屑","電線･ケーブル","その他の非鉄金属製品","建設用金属製品","建築用金属製品","ガス･石油機器･暖房･調理装置","その他の金属製品","ボイラ･原動機","ポンプ･圧縮機","運搬機械","冷凍機･温湿調整装置","その他のはん用機械","農業用機械","建設･鉱山機械","繊維機械","生活関連産業用機械","基礎素材産業用機械","金属加工機械","半導体製造装置","その他の生産用機械","事務用機械","サービス用･娯楽用機器","計測機器","医療用機械器具","光学機械･レンズ","武器","電子デバイス","その他の電子部品","産業用電気機器","民生用電気機器","電子応用装置","電気計測器","その他の電気機械","通信機器","映像･音響機器","電子計算機･同附属装置","乗用車","トラック･バス･その他の自動車","二輪自動車","自動車部品･同附属品","船舶･同修理","鉄道車両･同修理","航空機･同修理","その他の輸送機械","がん具･運動用品","その他の製造工業製品","再生資源回収･加工処理","住宅建築","非住宅建築","建設補修","公共事業","その他の土木建設","電力","都市ガス","熱供給業","水道","廃棄物処理","卸売","小売","金融","保険","不動産仲介及び賃貸","住宅賃貸料","住宅賃貸料(帰属家賃)","鉄道旅客輸送","鉄道貨物輸送","道路旅客輸送","道路貨物輸送(自家輸送を除く。)","自家輸送(旅客自動車)","自家輸送(貨物自動車)","外洋輸送","沿海･内水面輸送","港湾運送","航空輸送","貨物利用運送","倉庫","こん包","その他の運輸附帯サービス","郵便･信書便","通信","放送","情報サービス","インターネット附随サービス","映像･音声･文字情報制作","公務(中央)","公務(地方)","学校教育","社会教育･その他の教育","学術研究機関","企業内研究開発","医療","保健衛生","社会保険･社会福祉","介護","他に分類されない会員制団体","物品賃貸業(貸自動車業を除く。)","貸自動車業","広告","自動車整備","機械修理","その他の対事業所サービス","宿泊業","飲食サービス","洗濯･理容･美容･浴場業","娯楽サービス","その他の対個人サービス","事務用品","分類不明","内生部門計","家計外消費支出(列)","家計消費支出","対家計民間非営利団体消費支出","一般政府消費支出","一般政府消費支出(社会資本等減耗分)","国内総固定資本形成(公的)","国内総固定資本形成(民間)","在庫純増","国内最終需要計","国内需要合計","輸出","輸出(直接購入)","輸出計","最終需要計","需要合計","(控除)輸入","(控除)輸入(直接購入)","(控除)関税","(控除)輸入品商品税","(控除)輸入計","最終需要部門計","国内生産額"
"その他の無機化学工業製品",2958,816,284,914,827,991,1914,1724,30,0,0,1603,387,0,38,68,16291,6835,0,50799,1377,24215,6459,1129,28755,3384,28,6,40,0,13256,59,0,0,0,0,586,790,7396,15663,1023,805,1360,30,33816,51643,180690,16406,39229,2960,50364,31915,3756,138228,32117,10882,123569,15074,102830,421,275,41740,86220,27383,33,355,26716,2853,8355,2576,2300,52019,0,8616,657,19349,2712,534,4278,0,4927,8375,17778,366,725,5382,428,594,319,5903,5590,112,724,206,848,1522,729,1115,3161,6,1405,443,943,16,4,58028,14992,6888,12808,1899,126,39232,3359,2952,2490,1921,76,0,2533,4650,2191,734,399,1838,8836,416,2281,2567,3740,7642,6999,84,54,0,19460,25649,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,1307,2272,184,0,0,0,0,0,1662,997,4638,400,0,20,85504,15085,19446,3310,2917,0,0,0,1906,2560,1901,0,387,8607,0,81,271,0,3416,1767799,13,11146,0,0,0,0,0,-18862,-7703,1760096,334595,2,334597,326894,2094693,-486174,-21,-6686,-39427,-532308,-205414,1562385
"石油化学系基礎製品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,86,0,0,0,0,0,0,0,0,129,1290,0,55,85,6402,0,10882,540667,1013835,122382,128285,532115,917,2850,1709,0,99882,522,32962,1941,0,194,66,900,0,0,1249,0,0,0,492,0,0,0,0,0,41,0,0,0,0,0,0,0,0,2,0,0,0,0,191,0,0,0,36,0,0,0,5,0,0,0,0,0,0,163,985,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,577,572,0,0,0,0,0,0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,22366,3045,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529316,0,0,0,0,0,0,0,-57139,-57139,2472177,615654,0,615654,558515,3087831,-42821,0,0,-3425,-46246,512269,3041585
"脂肪族中間物･環式中間物･合成染料･有機顔料",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,912,394,0,0,835,1393,134,621,1328,62,1626,126,22,0,20273,559,35,22,76,0,801,2390,630,2714,5098,8,25374,2498,29,16,2813,53009,1189917,61378,166200,892066,129887,237935,128192,41307,161988,25212,307863,3311,60,205672,660,1335,0,487,656,53,411,27,1349,8,0,0,0,0,16,0,20,0,4,8,6,0,11,1079,0,0,0,0,67,0,0,8,2,2,3,2,4,0,1,0,282,202,0,1695,7706,4224,404,1,1766,4087,106,150,0,16,17,0,2,45,0,0,2,155,985,0,30,2,74,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,124,0,0,0,0,0,0,1165,7,2,0,0,0,56530,1068,153,4,37,0,11,0,0,0,0,0,0,0,3802,0,482,0,138,3766508,0,141,0,0,0,0,0,-32785,-32644,3733864,1112515,0,1112515,1079871,4846379,-1227414,0,-9411,-98946,-1335771,-255900,3510608
"合成ゴム",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,16,0,0,1008,3,44,1029,0,0,233,0,21731,0,0,525,16,0,0,0,0,54,0,5922,11881,0,0,0,0,129,0,7196,0,1141,22277,186949,112471,0,0,0,0,0,0,860,0,0,0,0,0,0,0,0,0,5020,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2327,11,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,391496,0,0,0,0,0,0,0,17501,17501,408997,238345,0,238345,255846,647342,-49457,0,0,-3957,-53414,202432,593928
"その他の有機化学工業製品",0,0,0,0,0,0,2,465,0,0,52,0,0,0,38,596,22162,13133,0,22881,4452,18420,4235,4348,25184,2158,0,0,135,0,1007,898,0,0,5,54,3565,0,751,29249,2663,407,784,135,2342,851,44695,32,71403,4114,195271,52513,336,238436,24530,52484,114015,15785,111171,370,949,173244,29188,57759,0,428,16085,402,121,427,48888,509,0,0,0,0,29,0,996,0,7817,617,360,0,110,324,10,0,0,5711,1337,0,0,10,32,32,114,4,147,11,6602,96,1041,0,0,42427,6476,4291,9978,42,128,2045,574,576,41,455,284,0,8310,295,0,0,53,25,786,0,1532,117,2389,1,0,0,13,0,299,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4219,0,4,0,0,0,0,929,99,57,10605,391,6180,8520,16750,1494,127,607,0,0,0,0,2293,1866,0,0,0,0,0,118,0,988,1575917,0,0,0,0,0,0,0,2661,2661,1578578,396333,0,396333,398994,1974911,-416670,0,-4823,-33719,-455212,-56218,1519699
"合成樹脂",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531,0,0,0,0,0,26,0,0,96,0,0,2563,1,13,69,0,6249,1379,0,4136,7914,4859,6278,2602,0,0,0,0,0,0,0,7975,32256,0,2054,60,89869,0,51714,0,1,1669123,0,1703,0,2573,1212,0,0,492,3560,0,0,0,0,144,0,0,0,0,23793,0,0,128,0,1387,0,0,0,0,26,0,0,4,0,0,0,0,1163,2227,0,40,15460,351,0,24569,21661,26391,13993,0,0,13661,2347,4645,2171,0,0,0,83082,1127,45,0,163,3062,12558,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,6930,394,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,7156,2169340,0,0,0,0,0,0,0,-14627,-14627,2154713,1031641,0,1031641,1017014,3186354,-611820,0,-12882,-49976,-674678,342336,2511676
"化学繊維",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24259,21660,68345,10892,0,76831,52996,7072,62540,0,231,1641,0,4753,188,0,74,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,350,3480,0,416,551,5,1093,0,0,0,15238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13630,23792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,394067,0,0,0,0,0,0,0,-35047,-35047,359020,238950,0,238950,203903,597970,-92617,0,-3913,-7722,-104252,99651,493718
"医薬品",0,0,0,0,0,0,30775,39665,0,0,0,7545,1270,0,0,0,215,19,0,3694,2,173,1258,0,0,3114,76,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269135,16,8749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,135,24545,0,0,0,0,0,0,0,0,0,16,219,0,0,20,82,0,6,0,0,0,0,1217,0,0,0,0,26,8544,4297,123,0,8959,6089,8412836,31415,78690,37791,0,0,0,0,0,0,0,95,0,0,247,21,0,8861,8990071,91652,609977,0,0,0,0,0,14452,716081,9706152,395008,103007,498015,1214096,10204167,-2913648,-1123,-806,-233156,-3148733,-1934637,7055434
"油脂加工製品･界面活性剤",116,0,0,0,0,0,0,38,0,16,0,0,0,0,0,0,531,191,108,25567,220,3897,2135,3,2065,22,273,381,1148,136,13415,811,280,361,96,12,289,0,5214,2967,28,0,1276,2,563,746,24283,0,6915,10372,2164,6883,1613,28363,118721,54370,20434,3712,26602,2431,10492,17559,6563,14865,0,47,751,7292,311,301,1271,749,0,2684,151,2396,5162,392,0,0,11,1520,612,250,90,736,107,189,637,530,1496,142,1039,408,869,872,1300,2606,5457,2545,3013,265,890,189,92,6278,6411,4227,1174,61,963,1261,2441,738,920,2811,1522,249,2250,228,31,1048,1198,0,1624,31,3251,2624,355,1080,753,0,0,0,0,647,119,429,243,0,215,16,0,164,1,411,1289,17,438,596,302,16,13,18,217,76,2253,0,0,0,0,0,93,459,2391,838,0,115,0,21479,7549,13465,12360,63,3193,129,0,2659,995,50760,12167,42014,51814,7056,8649,0,2864,758742,39075,271637,0,0,0,0,0,13413,324125,1082867,85331,3705,89036,413161,1171903,-132489,-115,-351,-10628,-143583,269578,1028320
"化粧品･歯磨",0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,104,0,0,0,0,0,0,34,0,0,1990,0,0,0,0,0,0,132,1038,0,0,0,0,0,0,0,0,0,2417,0,83177,14972,8019,0,1974,128480,29043,1432069,0,0,0,0,0,14067,1475179,1603659,165221,78109,243330,1718509,1846989,-258537,-31468,-810,-20508,-311323,1407186,1535666
"塗料･印刷インキ",0,0,0,0,0,0,0,1,0,5,0,5476,5,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,26,0,0,147,1,76,91,1724,10379,28067,0,1257,2819,24855,2098,143657,0,0,0,0,0,0,0,0,0,0,0,31,22432,0,8,0,710,10220,0,1139,4,170,2020,1953,204,676,204,0,0,55,43,5471,461,0,0,0,6205,201,22242,3992,1847,39650,841,1806,1700,3388,8530,2135,5290,628,2519,3530,11598,6394,6332,818,9810,743,1071,148,1057,97,7572,18686,5815,1888,2681,12869,9665,1860,2038,64442,33486,3864,37381,38044,8064,3618,3204,4074,20448,0,85449,52710,80030,16428,3541,0,0,0,994,0,0,0,0,0,0,287,2213,0,0,0,0,0,0,10,0,0,459,0,0,80,164,0,0,261,0,0,29639,649,4654,0,0,0,0,0,0,0,0,1350,171,0,34250,59423,895,7660,0,0,0,1313,1622,0,326,1073507,0,5279,0,0,0,0,0,-922,4357,1077864,250180,0,250180,254537,1328044,-48355,0,-1415,-3981,-53751,200786,1274293
"農薬",91367,24277,70859,42433,10546,16624,6449,4032,154,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,0,50878,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,1,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,126,3740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2960,0,0,0,2695,10365,0,0,338876,0,31930,0,0,0,0,0,4071,36001,374877,50609,0,50609,86610,425486,-34467,0,-987,-2836,-38290,48320,387196
"その他の化学最終製品",0,0,0,0,0,3,0,0,168,16,0,461,84,358,8264,3108,5679,854,0,9334,228,8818,2616,157,20347,3,3789,0,237,0,6911,3488,945,17,14074,52669,11269,17029,481,11352,19730,16542,18249,7328,920,17,1654,15317,12897,4889,24356,14060,5143,80548,10301,37297,4656,17136,431338,8427,4173,31810,1571,8215,102,294,1162,9786,25,1326,23979,762,0,718,76,568,3328,0,78,0,0,4702,109,1437,40,2993,341,2628,192,356,1685,498,254,371,17,108,1077,42,658,20309,148,2564,1264,191,35179,10439,16827,10246,1351,544,252,5091,2049,393,9572,13844,1723,8,207288,2905,154,250,1012,2522,71505,184,21738,7249,586,4097,14428,3763,10633,0,4020,11892,182,118,564,0,0,0,0,210,4,596,4075,20,339,0,0,0,53,1,248,422,416,9,5,1923,15044,3,11080,2893,2240,25,0,7180,118304,53782,8796,18870,16960,9067,28057,86,749,547,107,105929,917,19417,6714,3189,24455,13665,473,1992999,13399,170441,0,0,0,0,0,-25366,158474,2151473,1202672,2052,1204724,1363198,3356197,-632261,-38,-9127,-51308,-692734,670464,2663463
"石油製品",11702,1685,24065,9896,1031,14267,4806,3600,263,3698,3926,77704,2382,677,16086,2001,14309,10932,2659,12251,2431,31647,50480,3312,17778,8342,630,632,1761,183,9881,3966,2215,689,1854,3085,1806,3328,8635,11164,4657,3898,9156,8431,22045,9169,26893,1958332,57989,13636,5144,3644,4257,13735,8978,3353,2890,1345,19277,828873,152068,10246,8559,7600,141,471,31675,24390,30129,9165,23666,18429,0,18930,3981,10492,6048,3552,9972,0,1862,7539,3327,8760,822,21326,2837,2834,584,609,6378,1155,2018,674,939,890,6280,864,4978,503,678,1512,2722,341,357,10312,8023,9408,2224,185,286,4708,1587,204,602,9074,2675,433,60619,9976,5069,12291,4653,426,2414,6810,27052,41521,37266,132948,39185,701207,117063,5744,52126,55473,50791,99746,7398,8220,21334,10926,57,22397,1674,239544,769024,1987208,1245556,308019,87903,17644,719510,24915,2724,2676,12299,6884,11261,4687,12441,897,9715,295217,131696,22095,17309,64115,48296,95658,6882,18062,30739,14528,8374,10053,8204,18223,33503,75492,12493,104606,41816,73979,24016,0,90805,12130939,15755,5088280,0,0,0,0,0,-12988,5091047,17221986,1422933,3264,1426197,6517244,18648183,-2979965,-3413,-5869,-276324,-3265571,3251673,15382612
"石炭製品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,1,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,206,0,0,0,0,1776,268,773,677,1994,715,15582,0,0,0,449,0,92,0,160,0,57884,567,0,0,0,0,0,348,0,412,14651,419823,0,99262,4901,5747,19950,140,4049,0,0,346,68,0,48,318,24,7,44,5,73,6,0,19,39,34,5,65,74,7,0,30,109,7,0,0,0,44,0,2,0,0,27,0,0,0,0,0,1319,20,1409,0,0,0,42,186,3327,18536,335,337479,104950,401756,0,0,1,896,-145,-339,0,0,0,0,0,128,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,180,213,945,141,0,0,0,0,147,10,13768,0,0,464,0,57,1538103,136,-1491,0,0,0,0,0,-16605,-17960,1520143,17988,0,17988,28,1538131,-77478,0,-2273,-6380,-86131,-86103,1452000
"プラスチック製品",867,2920,18195,3953,326,23864,7937,2721,108,109,10764,22856,786,287,32,228,30866,73272,5292,80095,19268,130058,107624,56491,194190,1112,3141,571,509,81,589,3452,7414,1264,15124,2020,18653,61539,1714,7289,10153,7093,135450,237946,3938,1889,13771,0,5346,2320,3753,2396,3157,252039,55589,79943,1829,3742,53315,1912,0,2700566,9235,118710,1824,16467,28458,2364,1299,1034,4401,0,0,0,331,0,560,156,1775,0,41149,3396,1043,10264,13888,11036,859,3631,7535,24523,17234,4893,6048,3843,4605,11886,9990,58742,6955,45942,23073,28898,74017,19486,5084,120021,108719,156941,114760,1504,13536,234761,108958,20870,61760,371978,22894,5784,746225,14111,3329,45703,3345,22394,235956,2278,183268,155064,189041,110857,93480,0,0,0,165949,8221,62103,412167,33188,65627,7950,18197,20774,0,0,11,5748,0,366,136,602,127,2262,1672,7450,30960,370,0,471,3354,170495,280,19598,2741,25022,5637,0,15502,134494,54154,82,1601,2873,11362,3929,206,33888,60402,14448,71350,9000,31737,16794,47216,7077,54196,17103,9924791,17186,373606,0,3896,0,0,-680,-20742,373266,10298057,1591455,2,1591457,1964723,11889514,-959438,-27,-24563,-78720,-1062748,901975,10826766
"タイヤ･チューブ",0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13587,83628,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,181621,95849,2995,0,0,274,1537,12213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3576,59804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3995,0,0,0,0,0,0,0,0,0,0,0,0,0,400376,95,0,0,0,0,138,534,0,0,860931,0,4796,0,0,0,0,0,7985,12781,873712,580615,18,580633,593414,1454345,-138997,-100,0,-11120,-150217,443197,1304128
"その他のゴム製品",1213,313,4921,2905,923,943,1722,6429,107,151,0,1401,273,1032,1820,580,1743,1272,60,1751,278,611,2387,615,461,8,3,2,142,26,0,219,870,1054,5690,490,293,2235,0,0,676,1064,3318,2857,463,209,186,1358,4322,792,434,1584,0,10141,1065,247,356,385,681,0,354,7874,32332,106432,12452,380,329,5193,374,473,2752,4915,0,4482,2906,3406,1909,292,70,0,396,529,5061,8282,3257,3626,6660,26601,21729,12773,14195,19687,48882,4293,6541,22058,11817,7196,15917,11813,36084,7779,13222,104,5414,29602,6603,72080,20620,172,2621,9927,22401,3360,4493,35835,9804,817,421037,27507,12739,167,11969,5504,16566,5209,4485,4252,3045,41516,36079,0,0,0,5965,58286,4560,6322,363,0,0,0,0,1131,15,423,27443,4,75,1224,4588,3695,0,844,1296,597,159,484,3560,216,0,1328,197,29220,14535,161,1628,6414,1462,49790,1617,15383,15492,23211,5097,144,99,27965,53678,1739,6556,4045,2588,20572,4320,15008,1334,1809165,8185,518591,0,0,0,0,0,-19400,507376,2316541,290568,20,290588,797964,2607129,-653697,-283,-31260,-54796,-740036,57928,1867093
"革製履物",0,0,0,0,0,0,0,0,3,26,0,0,0,0,1684,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,4,3,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,219,0,0,0,311,0,0,0,8521,0,0,277,0,0,0,150,0,0,0,0,433,0,0,0,0,0,1114,6,36,73,0,0,0,0,0,16,220,0,0,0,0,1539,1028,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,567,87,0,201,103,173,0,0,0,0,0,23,19,97,56,339,293,4012,0,0,0,1447,2431,90,0,7,2,0,1286,7,0,311,0,0,0,0,18,4,5,15,175,56,526,7720,0,5,783,71,2017,6097,0,0,0,0,0,0,0,0,47,141,0,14,40,0,3837,2148,0,1803,933,2276,0,2098,58606,0,290866,0,0,0,0,0,-927,289939,348545,2686,239,2925,292864,351470,-185286,-840,-30220,-17210,-233556,59308,117914
"なめし革･革製品･毛皮(革製履物を除く。)",111,24,239,73,17,57,24,20,4,49,0,449,143,0,29,0,71,67,16,363,63,105,146,21,86,1,0,4,17,15,12,135,936,3260,1896,19,71,1753,1,136,110,357,47,438,45,15,26,1,38,7,14,37,41,60,27,40,22,2,1672,7,17,1171,15,466,19575,29564,25,43,551,80,172,25,0,28,500,22,216,39,35,0,15,234,268,26,66,125,31,54,45,12,133,10,24,8,51,57,162,414,551,15,0,3848,77,7108,359,1887,1772,511,44,130,457,75,1183,51,90,1017,250,1,2709,12,77,25,95,7224,3622,71,22,22,74,81,139,769,11091,0,591,867,1995,2859,912,3060,12,2,0,352,3,48,228,0,0,12,37,4,7,0,22,0,245,325,43194,1094,79,5172,144,428,2149,1351,205,8870,2394,1370,452,753,467,7026,7118,26,186,53,30,1222,187,381,390,1722,6529,0,3009,220759,38115,821387,0,0,0,0,0,-386,859116,1079875,17189,5797,22986,882102,1102861,-657645,-113439,-50188,-56171,-877443,4659,225418
"ガラス･ガラス製品",0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,2993,3159,0,111,2710,8472,4463,51183,25451,0,1,0,3,0,287,257,640,0,1079,0,141,26257,0,0,317,0,0,36,23,95,3114,111,1338,337,1575,71,0,69308,0,44792,157,3360,4024,0,0,37267,0,2004,0,1,55370,66,0,244,3166,0,0,0,0,0,0,0,0,0,31855,321,1,1798,2285,3399,0,82,3456,619,4,216,481,0,94,129,127,1226,83,5818,6579,9735,2470,89552,334,38568,50446,1527,6170,1012,387,38762,961,1501,253,176126,18241,0,571,1488,8789,20778,380,2086,29442,24,57764,49046,22272,614,615,0,0,0,6,542,952,6319,172,0,0,0,0,16,1,33,287,0,0,76,209,0,130,1,0,0,3,0,0,0,0,0,65,111,2985,8008,1373,22845,15264,14910,7708,2403,2517,1238,0,0,213,42909,1109,423,3840,12017,582,5490,466,0,6042,1204288,5949,18096,0,0,0,0,0,-20360,3685,1207973,294896,2,294898,298583,1502871,-243447,-250,-1572,-19565,-264834,33749,1238037
"セメント･セメント製品",0,0,0,0,0,0,0,0,30,28,0,0,0,142,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,7,19,93,0,0,0,0,0,0,282430,0,613,1212,0,0,0,0,0,167,0,0,0,0,0,15,0,0,517,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,10,0,0,0,1534,0,443911,458958,400953,728523,311302,0,35,0,0,934,0,0,0,0,3,492,5210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250,2641271,0,1525,0,0,0,0,0,-1408,117,2641388,43630,0,43630,43747,2685018,-16814,0,-91,-1352,-18257,25490,2666761
"陶磁器",0,0,0,0,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,14,2808,0,0,0,0,0,0,0,144,301,0,0,0,14,0,0,0,0,0,0,0,374,0,0,657,0,0,0,0,3,167,4162,1,0,0,0,0,0,0,12,0,0,0,0,0,3,0,1468,130,129,171,0,54,2,5,0,414,214,55,327,61,39,93,0,3114,0,0,0,26765,277236,25228,66,210,671,1668,3919,76,0,0,0,0,3183,23,178,17,0,0,1048,80,93046,64808,9421,3068,4526,0,0,0,0,900,1941,3860,108,0,0,0,0,0,0,32,299,0,0,225,203,0,1,10,2,0,43,0,0,0,0,0,0,76,1787,2289,140,203,0,7963,448,10374,7204,800,0,1,0,0,0,185,5360,32273,0,151,1364,0,5412,615586,2801,21998,0,0,0,0,0,680,25479,641065,155416,10851,166267,191746,807332,-126969,-78,-1056,-10147,-138250,53496,669082
"建設用土石製品",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4243,3071,13390,1169,0,0,0,0,0,1035,0,79,0,0,0,0,96,0,1249,1044,339,0,0,34266,0,0,2,6424,85,663,150,1260,0,0,3725,155,0,0,0,0,2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72249,44791,164259,22311,57131,0,181,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,150,1835,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1378,439406,0,182,0,0,0,0,0,-15589,-15407,423999,42676,0,42676,27269,466675,-57841,0,-489,-4666,-62996,-35727,403679
