"Date","総合(ウエイト=10000)","生鮮食品を除く総合(ウエイト=9586)","食料(酒類を除く)及びエネルギーを除く総合(ウエイト=6713)","生鮮食品及びエネルギーを除く総合(ウエイト=8802)"
"99年09月",-0.2,0,-0.2,0.1
"99年10月",-0.7,-0.1,-0.1,-0.1
"99年11月",-1.2,-0.2,-0.2,-0.3
"99年12月",-1.1,-0.1,-0.3,-0.1
"00年01月",-0.9,-0.3,-0.4,-0.4
"00年02月",-0.6,-0.1,-0.2,-0.2
"00年03月",-0.5,-0.3,-0.3,-0.5
"00年04月",-0.8,-0.4,-0.6,-0.6
"00年05月",-0.7,-0.2,-0.2,-0.4
"00年06月",-0.7,-0.3,-0.5,-0.6
"00年07月",-0.5,-0.3,-0.3,-0.6
"00年08月",-0.8,-0.3,-0.5,-0.6
"00年09月",-0.8,-0.5,-0.5,-0.8
"00年10月",-0.9,-0.6,-0.6,-0.8
"00年11月",-0.5,-0.5,-0.5,-0.7
"00年12月",-0.2,-0.6,-0.5,-0.8
"01年01月",-0.3,-0.8,-0.9,-1
"01年02月",-0.3,-0.8,-1,-1
"01年03月",-0.7,-0.9,-1.1,-1.1
"01年04月",-0.7,-0.8,-0.9,-0.9
"01年05月",-0.7,-1,-1.1,-1.1
"01年06月",-0.8,-0.9,-0.9,-1
"01年07月",-0.8,-0.9,-0.9,-0.9
"01年08月",-0.7,-0.9,-0.9,-0.9
"01年09月",-0.8,-0.8,-0.8,-0.8
"01年10月",-0.8,-0.7,-0.7,-0.8
"01年11月",-1,-0.8,-0.9,-0.8
"01年12月",-1.2,-0.9,-0.8,-0.9
"02年01月",-1.4,-0.8,-0.8,-0.8
"02年02月",-1.6,-0.8,-0.8,-0.8
"02年03月",-1.2,-0.7,-0.7,-0.6
"02年04月",-1.1,-0.9,-0.8,-0.8
"02年05月",-0.9,-0.8,-0.9,-0.7
"02年06月",-0.7,-0.8,-0.8,-0.7
"02年07月",-0.8,-0.8,-0.9,-0.7
"02年08月",-0.9,-0.9,-0.8,-0.8
"02年09月",-0.7,-0.9,-0.8,-0.7
"02年10月",-0.9,-0.9,-0.8,-0.7
"02年11月",-0.4,-0.8,-0.7,-0.6
"02年12月",-0.3,-0.7,-0.6,-0.5
"03年01月",-0.4,-0.8,-0.7,-0.7
"03年02月",-0.2,-0.7,-0.6,-0.6
"03年03月",-0.1,-0.6,-0.5,-0.6
"03年04月",-0.1,-0.4,-0.4,-0.5
"03年05月",-0.2,-0.4,-0.3,-0.4
