"Date","女:15~64歳:15~24","女:15~64歳:25~34","女:15~64歳:35~44","女:15~64歳:45~54","女:15~64歳:55~64","女:15~64歳","女:総数","男:15~64歳:15~24","男:15~64歳:25~34","男:15~64歳:35~44","男:15~64歳:45~54","男:15~64歳:55~64","男:15~64歳","男:総数"
"98年03月",6.7,5.9,3.2,1.9,3.1,4,3.7,8,3.6,2.6,2.2,6.3,4,3.9
"98年04月",7,5.6,3.5,2.4,2.6,4.1,3.9,8.3,3.8,2.6,2.5,6.6,4.2,4.1
"98年05月",7.3,5.7,3.3,2.5,2.6,4.1,3.9,8,4,2.9,2.7,6.2,4.3,4.2
"98年06月",7.2,6.4,3.2,2.5,3.1,4.3,4.1,7.8,4,3,2.4,6.4,4.2,4.1
"98年07月",7.1,6.1,3.8,2.5,2.9,4.3,4.1,8.1,4,2.8,2.3,6.1,4.2,4.1
"98年08月",7.1,6.9,3.4,2.7,2.8,4.5,4.2,8.6,4.4,2.8,2.8,6.9,4.6,4.4
"98年09月",7.1,6.9,3.2,2.6,2.7,4.4,4.1,8.4,4.6,3.1,2.6,6.6,4.6,4.5
"98年10月",7.3,6.5,3.8,2.9,3.1,4.6,4.3,8.6,4.6,2.9,2.6,5.9,4.5,4.3
"98年11月",7.6,6.8,3.5,2.9,3.2,4.7,4.4,8.7,4.7,2.9,2.8,6.5,4.6,4.5
"98年12月",8.2,6.3,3.3,2.7,3.1,4.5,4.3,8.5,4.6,3,2.9,6.6,4.7,4.5
"99年01月",7.9,6.5,3.4,3.1,3,4.6,4.3,9.2,4.3,3.3,3.2,6.4,4.8,4.6
"99年02月",8.1,7.1,3.5,3,3,4.8,4.6,9.9,4.6,2.9,3.1,6.6,4.8,4.7
"99年03月",8.1,6.5,3.8,3.3,3.5,4.9,4.6,9.6,4.8,2.9,3.4,6.9,4.9,4.8
"99年04月",8.2,6.5,4,2.9,3,4.7,4.5,10.2,4.7,3.5,3.3,6.6,5.1,4.9
"99年05月",7.5,6.5,3.7,2.7,3,4.5,4.3,10.4,5.2,3,3.3,6.8,5.1,4.9
"99年06月",7.4,6.8,3.6,2.9,3.1,4.7,4.4,10.4,5.3,3,3.3,7.2,5.2,5.1
"99年07月",8.3,6.8,3.6,3.3,3.4,4.9,4.6,10.6,4.8,3.1,3.2,7.2,5.1,5
"99年08月",8.8,6.6,3.5,3.2,3.2,4.9,4.6,9.9,4.8,2.9,3.2,6.8,4.9,4.8
"99年09月",8.5,7,3.7,2.9,3.3,4.9,4.6,10.5,4.4,2.9,3,6.5,4.8,4.6
"99年10月",8.5,6.7,3.7,2.9,3.5,4.8,4.6,10.2,4.6,2.9,3.1,6.8,4.9,4.7
"99年11月",8.3,6.5,3.3,2.7,3.3,4.6,4.3,10.4,4.8,2.9,2.9,6.7,4.9,4.7
"99年12月",7.4,6.8,3.6,3,3,4.6,4.3,10.8,5.1,3,3.2,6.4,5,4.8
"00年01月",7.2,7.2,3.6,2.9,3.3,4.7,4.4,9.1,5.2,3,3.5,6.8,5,4.9
"00年02月",7.6,6.9,3.8,2.9,3.3,4.7,4.5,10.3,5.2,3.2,3.6,7,5.2,5.1
"00年03月",7.7,6.6,4.1,3.1,3.1,4.8,4.5,10.7,5.4,3,3.4,6.9,5.3,5.1
"00年04月",7.6,6.8,3.8,3.2,4.2,4.9,4.6,9.7,5.1,2.9,3.4,7,5,4.9
"00年05月",7.7,6.1,4.3,3,3.7,4.8,4.5,9.3,4.6,3.1,3.1,6.7,4.8,4.7
"00年06月",8,6.2,4,2.9,4.1,4.8,4.5,10.4,4.6,3,3.3,6.7,4.9,4.8
"00年07月",7.5,6.4,3.6,2.9,3.2,4.6,4.4,9.8,5.1,2.7,3.6,7,5.1,4.9
"00年08月",7.5,6.5,3.5,2.9,3.5,4.6,4.4,10,5,2.8,3.3,6.7,5,4.8
"00年09月",8,6.5,3.3,3.2,3.5,4.7,4.4,10.2,5.1,2.7,3.5,6.6,5,4.8
"00年10月",7.9,6.6,3.4,3,3.4,4.6,4.4,10.7,4.9,2.9,3.4,6.6,5,4.9
"00年11月",9,6.2,3.9,3,3.5,4.8,4.5,10.9,5.1,2.9,3.3,6.4,5,4.9
"00年12月",9.2,6,3.6,3,3.6,4.8,4.6,11.2,5,3,3.5,6.2,5.1,4.9
"01年01月",8.4,6.6,4,2.8,3.7,4.9,4.6,10.7,5.1,3,3.4,6.7,5.1,4.9
"01年02月",8.3,6.4,3.8,2.9,3.4,4.7,4.5,9.4,5.3,3.2,3.1,6.8,5,4.8
"01年03月",8.4,7,3.3,2.8,3.5,4.8,4.6,9.5,5.2,3.2,3.5,6.6,5,4.9
