"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2020-02-04",-75080,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-02-11",-85669,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-02-18",-91507,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-02-25",-114021,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-03-03",-86703,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-03-10",-12667,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-03-17",32495,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-03-24",61290,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-03-31",74247,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-04-07",79624,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-04-14",86617,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-04-21",87218,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-04-28",79681,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-05-05",76299,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-05-12",78140,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-05-19",72562,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-05-26",75222,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
"2020-06-02",81240,"EURO FX - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF EUR 125,000)"
" Source:U.S. COMMODITY FUTURES TRADING COMMISSION",,,
"CFTC建玉明細",,,
