"Date","正社員労働市場関係指標","パートタイムを含む一般","パートタイムを除く一般","一般パートタイム"
"88年07月",,1.04,0.93,3.19
"88年08月",,1.06,0.94,3.26
"88年09月",,1.08,0.96,3.32
"88年10月",,1.1,0.98,3.44
"88年11月",,1.12,0.99,3.57
"88年12月",,1.14,1.01,3.67
"89年01月",,1.15,1.02,3.71
"89年02月",,1.17,1.04,3.69
"89年03月",,1.17,1.05,3.77
"89年04月",,1.19,1.05,3.9
"89年05月",,1.25,1.11,3.99
"89年06月",,1.27,1.13,4.03
"89年07月",,1.3,1.15,4.12
"89年08月",,1.29,1.14,4.09
"89年09月",,1.3,1.15,4.01
"89年10月",,1.31,1.16,3.99
"89年11月",,1.33,1.18,3.93
"89年12月",,1.33,1.19,3.91
"90年01月",,1.33,1.18,3.87
"90年02月",,1.36,1.21,3.77
"90年03月",,1.36,1.22,3.64
"90年04月",,1.35,1.21,3.48
"90年05月",,1.39,1.25,3.34
"90年06月",,1.42,1.28,3.3
"90年07月",,1.46,1.32,3.24
"90年08月",,1.44,1.31,3.16
"90年09月",,1.44,1.31,3.03
"90年10月",,1.44,1.31,3.01
"90年11月",,1.45,1.32,2.97
"90年12月",,1.44,1.31,2.85
"91年01月",,1.43,1.3,2.85
"91年02月",,1.44,1.31,2.84
"91年03月",,1.44,1.32,2.86
"91年04月",,1.41,1.28,2.84
"91年05月",,1.44,1.31,2.82
"91年06月",,1.44,1.31,2.75
"91年07月",,1.44,1.33,2.61
"91年08月",,1.4,1.29,2.5
"91年09月",,1.36,1.26,2.39
"91年10月",,1.36,1.25,2.38
"91年11月",,1.34,1.24,2.31
"91年12月",,1.31,1.21,2.22
"92年01月",,1.25,1.16,2.1
"92年02月",,1.22,1.13,2.05
"92年03月",,1.19,1.1,1.99
"92年04月",,1.14,1.06,1.91
"92年05月",,1.13,1.05,1.82
"92年06月",,1.1,1.03,1.78
"92年07月",,1.08,1.01,1.72
"92年08月",,1.05,0.98,1.67
"92年09月",,1.02,0.95,1.62
"92年10月",,0.99,0.92,1.57
"92年11月",,0.96,0.9,1.51
"92年12月",,0.93,0.87,1.45
"93年01月",,0.91,0.85,1.42
"93年02月",,0.88,0.82,1.39
"93年03月",,0.85,0.79,1.3
