"Date","消費者態度指数","雇用環境","収入の増え方","耐久消費財の買い時判断","暮らし向き","資産価値"
"04年11月",0,0.2,0.2,-0.3,-0.1,0.1
"04年12月",-3.3,-4,-3.8,-2.3,-3,0.3
"05年01月",2.7,2.9,3.6,1.5,2.8,-0.3
"05年02月",0,-0.2,-0.1,0.1,0.2,0
"05年03月",-3,-2.8,-3.9,-2.1,-3.2,1
"05年04月",2.4,2.7,3.4,1.1,2.2,-0.6
"05年05月",0.2,0.3,0.2,0.3,0.2,-0.9
"05年06月",-1.2,-1.1,-2.6,0.1,-1.3,1.3
"05年07月",2.1,2.7,2.7,1,2.1,-0.7
"05年08月",0.2,0.4,0,0.1,0.2,0.5
"05年09月",-2.8,-2.9,-3.2,-1.9,-3.3,-0.8
"05年10月",2.5,3.2,3.2,1.1,2.8,2.1
"05年11月",0.5,0.5,0,1,0.2,0.6
"05年12月",-1.2,-0.4,-2.3,-0.4,-1.7,-0.7
"06年01月",2.6,3.6,3,1.7,2.3,2.1
"06年02月",0.1,0.4,0.1,-0.1,-0.1,-0.9
"06年03月",-2.4,-2.8,-3,-1.6,-2.1,-1
"06年04月",1.8,2.4,2.5,0.5,1.6,1.7
"06年05月",-0.6,-0.7,-0.5,-0.2,-0.9,-1.2
"06年06月",-2.3,-3,-2.6,-2,-1.6,-2
"06年07月",1.8,2,2.3,1.4,1.5,0.7
"06年08月",-0.9,-0.8,-0.6,-1.5,-0.7,0.4
"06年09月",-1.5,-1.4,-2.4,0,-2,-1.9
"06年10月",2.3,2.1,2.4,1.8,2.6,2
"06年11月",0.8,0.8,0.6,1.1,0.8,0.5
"06年12月",-2.1,-2.5,-2.5,-1.4,-2.1,-0.9
"07年01月",2,2.5,2.5,1.1,2,1.1
"07年02月",0,-0.1,0.1,-0.2,0.1,-0.1
"07年03月",-2.3,-2.1,-2.4,-2.3,-2.3,-1.1
"07年04月",0.3,-0.2,0.6,0.4,0.5,-0.1
"07年05月",-0.7,-1.2,-0.3,-1.1,-0.3,-0.9
"07年06月",-2,-2,-1.4,-2.1,-2.5,-0.2
"07年07月",-0.2,-0.9,-0.1,0,0.3,-0.3
"07年08月",-0.2,-0.6,0.4,-0.6,-0.2,-1.4
"07年09月",-0.4,-0.9,-0.5,0.5,-0.5,0.1
"07年10月",-0.8,-0.6,0.2,-2.4,-0.5,-0.1
"07年11月",-2.4,-1.3,-1,-3.6,-3.6,-1.8
"07年12月",-1.1,-0.5,-0.5,-1.9,-1.7,0
"08年01月",-0.7,-2,-0.3,-0.4,0.1,-3.4
"08年02月",-1,-1.3,-0.6,-1,-1.2,-2.8
"08年03月",-0.6,-1.5,-0.6,-0.4,0.3,1.9
"08年04月",-2.1,-2.7,-1.4,-2.3,-2.1,-2.3
"08年05月",-1.8,-2.1,-1.4,-2.1,-1.8,-0.3
"08年06月",-1.2,-2.3,0.1,-1.5,-1.1,-0.4
"08年07月",-1.1,-1.8,-0.1,-1.6,-0.8,-1.5
"08年08月",-1.1,-2.3,-1.4,-0.1,-0.6,-0.9
"08年09月",1.1,0.7,0.3,2.2,1.3,0.7
"08年10月",-1.5,-3.8,-1,-1,-0.3,-4.6
"08年11月",-0.4,-2.3,-0.4,0.9,0.3,-0.7
"08年12月",-1.2,-3.2,-1.3,0.3,-0.5,0.3
"09年01月",-0.1,-1.5,-0.2,0.6,0.6,-0.4
"09年02月",0.2,-0.4,-0.4,1.2,0.4,0.6
"09年03月",1.7,3.1,0.5,1.8,1.4,0.7
"09年04月",2.7,3.5,1.3,4,2,2.3
