"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2020-02-04",18563,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-02-11",9705,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-02-18",7817,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-02-25",14624,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-03-03",10579,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-03-10",-1990,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-03-17",-9623,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-03-24",-29245,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-03-31",-21929,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-04-07",-24433,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-04-14",-23760,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-04-21",-23891,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-04-28",-29044,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-05-05",-32052,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-05-12",-32246,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-05-19",-35056,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-05-26",-33954,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
"2020-06-02",-33138,"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF CAD 100,000)"
" Source:U.S. COMMODITY FUTURES TRADING COMMISSION",,,
"CFTC建玉明細",,,
